archivo,cultivo,estado,tecnologia,modalidad,ciclo,costo_por_ha,rendimiento,precio,utilidad,prep_terreno,siembra,fertilizacion,labores,riegos,plagas,cosecha,diversos,utilidad_calc,prep_terreno_pct,siembra_pct,fertilizacion_pct,labores_pct,riegos_pct,plagas_pct,cosecha_pct,diversos_pct,roi,cultivo_mapeado
Sorgo_GMF_Guanajuato_PV_2026.pdf,SORGO,GUANAJUATO,GMF,TRADICIONAL ESTATUS: AUTORIZADO,PV - 2026,4320,10.0,4790.0,11592.0,6600.0,3300.0,10848.0,0.0,3200.0,3745,3500.0,1903,43580.0,1.5277777777777777,0.7638888888888888,2.511111111111111,0.0,0.7407407407407407,0.8668981481481481,0.8101851851851852,0.44050925925925927,2.683333333333333,SORGO GRANO
Sorgo_GMF_Sinaloa_OI_2025_2026.pdf,SORGO,SINALOA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,3774,7.0,4718.0,4301.0,3124.0,2714.0,7896.0,786.0,3080.0,1328,4177.0,3155,29252.0,0.8277689454160042,0.7191308956014838,2.0922098569157392,0.2082670906200318,0.8161102278749337,0.35188129305776367,1.1067832538420774,0.8359830418653948,1.1396396396396395,SORGO GRANO
Sorgo_GMF_Tamaulipas_OI_2025_2026.pdf,SORGO,TAMAULIPAS,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,3300,3.9,3832.0,1330.0,2651.0,1213.0,1220.0,700.0,1641.0,670,1950.0,1200,11644.8,0.8033333333333333,0.36757575757575756,0.3696969696969697,0.21212121212121213,0.49727272727272726,0.20303030303030303,0.5909090909090909,0.36363636363636365,0.403030303030303,SORGO GRANO
Sorgo_TMF_Tamaulipas_OI_2025_2026.pdf,SORGO,TAMAULIPAS,TMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,3300,2.8,3832.0,872.0,2651.0,1213.0,610.0,350.0,0.0,670,1400.0,1200,7429.5999999999985,0.8033333333333333,0.36757575757575756,0.18484848484848485,0.10606060606060606,0.0,0.20303030303030303,0.42424242424242425,0.36363636363636365,0.2642424242424242,SORGO GRANO
Sorgo_TMF_Veracruz_OI_2025_2026.pdf,SORGO,VERACRUZ,TMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,4000,3.4,4500.0,1089.0,1740.0,2175.0,4731.0,800.0,0.0,1300,1534.0,1070,11300.0,0.435,0.54375,1.18275,0.2,0.0,0.325,0.3835,0.2675,0.27225,SORGO GRANO
Sorgo_TMS_Tamaulipas_OI_2025_2026.pdf,SORGO,TAMAULIPAS,,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,3300,2.2,3832.0,124.0,2651.0,1025.0,0.0,350.0,0.0,670,1100.0,1067,5130.4000000000015,0.8033333333333333,0.3106060606060606,0.0,0.10606060606060606,0.0,0.20303030303030303,0.3333333333333333,0.3233333333333333,0.037575757575757575,SORGO GRANO
Tomate rojo (jitomate)_BMF_Michoacán_PV_2026.pdf,TOMATE ROJO (JITOMATE),MICHOACÁN,BMF,AGRICULTURA PROTEGIDA ESTATUS: AUTORIZADO,PV - 2026,12622,330.0,17881.0,1773632.0,97500.0,392450.0,537229.0,791900.0,79060.0,125324,1683510.0,120000,5888108.0,7.724607827602599,31.092536840437333,42.562906037078115,62.73966090952305,6.2636666138488355,9.929012834733006,133.3790207574077,9.50720963397243,140.51909364601488,TOMATE ROJO (JITOMATE)
Tomate rojo (jitomate)_BMF_Puebla_PV_2026.pdf,TOMATE ROJO (JITOMATE),PUEBLA,BMF,AGRICULTURA PROTEGIDA ESTATUS: AUTORIZADO,PV - 2026,8500,320.0,10000.0,702596.0,188700.0,254560.0,422025.0,497670.0,144630.0,229232,189274.0,304100,3191500.0,22.2,29.948235294117648,49.65,58.54941176470588,17.01529411764706,26.968470588235295,22.267529411764706,35.77647058823529,82.65835294117647,TOMATE ROJO (JITOMATE)
Tomate rojo (jitomate)_BMF_San Luis Potosí_PV_2026.pdf,TOMATE ROJO (JITOMATE),SAN LUIS POTOSÍ,BMF,AGRICULTURA PROTEGIDA ESTATUS: AUTORIZADO,PV - 2026,6000,126.0,8000.0,309443.0,18900.0,151500.0,49656.0,43200.0,66910.0,14969,271840.0,17500,1002000.0,3.15,25.25,8.276,7.2,11.151666666666667,2.4948333333333332,45.306666666666665,2.9166666666666665,51.57383333333333,TOMATE ROJO (JITOMATE)
Tomate rojo (jitomate)_BMF_Zacatecas_PV_2026.pdf,TOMATE ROJO (JITOMATE),ZACATECAS,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,8000,250.0,9500.0,317181.0,2403.0,253640.0,82185.0,481500.0,84499.0,218185,672300.0,96700,2367000.0,0.300375,31.705,10.273125,60.1875,10.562375,27.273125,84.0375,12.0875,39.647625,TOMATE ROJO (JITOMATE)
Trigo_BMF_Baja California Sur_OI_2025_2026.pdf,TRIGO,BAJA CALIFORNIA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,OI 2025/2026,4725,6.0,6267.0,1888.0,5941.0,3938.0,10851.0,0.0,5104.0,1516,3650.0,1081,32877.0,1.2573544973544974,0.8334391534391534,2.2965079365079366,0.0,1.0802116402116402,0.3208465608465608,0.7724867724867724,0.22878306878306878,0.3995767195767196,TRIGO GRANO
Trigo_BMF_Chihuahua_OI_2025_2026.pdf,TRIGO,CHIHUAHUA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,OI 2025/2026,5200,6.4,6500.0,2929.0,3119.0,4721.0,14750.0,0.0,5924.0,4420,1840.0,1150,36400.0,0.5998076923076923,0.9078846153846154,2.8365384615384617,0.0,1.1392307692307693,0.85,0.35384615384615387,0.22115384615384615,0.5632692307692307,TRIGO GRANO
Trigo_GMF_Baja California_OI_2025_2026.pdf,TRIGO,BAJA CALIFORNIA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,5233,6.58,5814.0,4215.0,3857.0,2724.0,11770.0,300.0,2956.0,2984,3712.0,1529,33023.12,0.7370533154978024,0.5205427097267342,2.2491878463596406,0.05732849226065354,0.5648767437416395,0.5702274030193006,0.7093445442384865,0.2921842155551309,0.8054653162621823,TRIGO GRANO
Trigo_GMF_Coahuila_OI_2025_2026.pdf,TRIGO,COAHUILA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,5790,3.41,6220.0,1653.0,2800.0,2880.0,4740.0,0.0,3100.0,1715,2223.0,900,15420.2,0.4835924006908463,0.49740932642487046,0.8186528497409327,0.0,0.5354058721934369,0.29620034542314333,0.3839378238341969,0.15544041450777202,0.2854922279792746,TRIGO GRANO
Trigo_GMF_Guanajuato_OI_2025_2026.pdf,TRIGO,GUANAJUATO,GMF,LABRANZA DE CONSERVACIÓN ESTATUS: AUTORIZADO,OI 2025/2026,5102,6.5,5670.0,4545.0,1600.0,3400.0,10384.0,0.0,5860.0,4389,2275.0,2300,31753.0,0.31360250882007057,0.6664053312426499,2.0352802822422578,0.0,1.1485691885535085,0.860250882007056,0.44590356722853786,0.4508036064288514,0.8908271266170129,TRIGO GRANO
Trigo_GMF_Sinaloa_OI_2025_2026.pdf,TRIGO,SINALOA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,4698,6.0,5220.0,3160.0,4976.0,3806.0,5721.0,1230.0,3050.0,1855,2737.0,2805,26622.0,1.059174116645381,0.8101319710515112,1.2177522349936143,0.26181353767560667,0.6492124308216263,0.3948488718603661,0.5825883354618987,0.5970625798212005,0.6726266496381439,TRIGO GRANO
Trigo_GMF_Sonora_OI_2025_2026.pdf,TRIGO,SONORA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,5393,6.9,5677.0,5003.0,3936.0,2972.0,9444.0,0.0,2562.0,4059,3478.0,1822,33778.3,0.7298349712590395,0.5510847394770999,1.7511589096977564,0.0,0.4750602633042833,0.7526423141108844,0.6449100686074541,0.3378453550899314,0.9276840348600037,TRIGO GRANO
