CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
01001,75.90582114013833,0.0,0.0,24.094178859861668,AGUASCALIENTES
01002,3.9048293523195445,0.0,0.0,96.09517064768045,AGUASCALIENTES
01003,95.99876547297937,0.0,4.001234527020633,0.0,AGUASCALIENTES
01004,0.0,0.0,0.0,100.0,AGUASCALIENTES
01005,73.20970903537962,0.0,0.0,26.79029096462038,AGUASCALIENTES
01006,12.194483450897735,0.0,0.0,87.80551654910226,AGUASCALIENTES
01007,23.20746578475918,0.0,0.0,76.79253421524082,AGUASCALIENTES
01008,99.87500321699461,0.0,0.0,0.12499678300538342,AGUASCALIENTES
01009,0.0,0.0,0.0,100.0,AGUASCALIENTES
01010,81.04161403903582,0.0,0.0,18.958385960964186,AGUASCALIENTES
01011,0.0,0.0,0.0,100.0,AGUASCALIENTES
02001,0.0,87.3588038120127,0.0,12.641196187987314,BAJA CALIFORNIA
02002,0.0,43.79007067816713,0.0,56.20992932183285,BAJA CALIFORNIA
02003,0.0,100.0,0.0,0.0,BAJA CALIFORNIA
02004,0.0,100.0,0.0,0.0,BAJA CALIFORNIA
02005,0.0,100.0,0.0,0.0,BAJA CALIFORNIA
02006,0.0,44.996252179786204,0.0,55.003747820213796,BAJA CALIFORNIA
03001,39.46381654191215,23.404157074860407,0.0,37.132026383227455,BAJA CALIFORNIA SUR
03002,5.8009990995366065,61.14544324295855,0.0,33.053557657504854,BAJA CALIFORNIA SUR
03003,5.022378743084372,65.15326807633359,0.0,29.82435318058205,BAJA CALIFORNIA SUR
03008,0.0,100.0,0.0,0.0,BAJA CALIFORNIA SUR
03009,16.559144872152768,83.44085512784724,0.0,0.0,BAJA CALIFORNIA SUR
04001,0.0,58.750702571539094,0.0,41.249297428460906,CAMPECHE
04002,0.0,100.00000000000001,0.0,0.0,CAMPECHE
04003,100.0,0.0,0.0,0.0,CAMPECHE
04004,57.32243334773344,42.67756665226656,0.0,0.0,CAMPECHE
04005,0.0,91.17954363870389,0.0,8.820456361296102,CAMPECHE
04006,0.0,100.0,0.0,0.0,CAMPECHE
04007,100.0,0.0,0.0,0.0,CAMPECHE
04008,0.0,85.307125283347,0.0,14.692874716652982,CAMPECHE
04009,60.50086236374543,39.499137636254574,0.0,0.0,CAMPECHE
04010,1.3149653667378234,98.68503463326218,0.0,0.0,CAMPECHE
04011,37.23448004928938,62.765519950710605,0.0,0.0,CAMPECHE
04012,15.284734678916687,84.71526532108331,0.0,0.0,CAMPECHE
04013,0.0,100.0,0.0,0.0,CAMPECHE
05001,0.0,26.56628505006457,0.0,73.43371494993544,COAHUILA
05002,0.0,87.28920513777156,0.0,12.710794862228433,COAHUILA
05003,0.0,6.060005592847247,0.0,86.84372571675377,COAHUILA
05004,0.0,92.3589473857333,0.0,7.641052614266684,COAHUILA
05005,0.0,80.85402570507215,0.0,19.14597429492784,COAHUILA
05006,0.0,53.151346257972236,0.0,46.848653742027786,COAHUILA
05007,0.0,52.236945651741465,0.0,47.763054348258535,COAHUILA
05008,0.0,49.07665945501608,0.0,50.92334054498392,COAHUILA
